,B-PX211453,B-PX211376,B-PX211374,A-PX211436,A-PX211473,A-PX211438,B-MH182449,A-MN479581,A-PP861813,A-PP861823,A-OP850377,A-MG181893,A-MG181772,A-MW715610,A-LC105572,A-KJ752156,A-KC443002,A-KU356580,A-HQ641359,A-LC569277,A-LC477540,A-LC228343,A-LC228376,A-LC228354,A-LC569260,A-LC569232,A-OP717689,A-OP717686,A-MG181662,A-HQ657133,A-KR705196,A-KC443340,A-KC443362,A-KC443217,A-KC834696,A-KJ918784,A-KC443351,A-PP861879,A-PP861825,A-OP850378,A-LC514509,A-LC514476,A-KF716387,A-LC169990,A-LC169979,A-KJ721779,A-KJ721773,A-KJ721783,A-MN479504,A-MN479500,A-MN479492,A-MN479491,A-MN479445,A-MG670727,A-MG670724,A-LC105583,A-KF716394,A-KF716391,A-KC442958,A-KJ721778,A-KC178724,A-KC442969,A-KU248411,A-KU248400,A-KU199276,B-LC514520,B-KC178718,B-KC443450,B-KC443195,B-KC443758,B-KC443626,B-KC443318,B-KJ918850,B-LC086808,B-LC086797,B-LC086786,B-MH704726,B-LC325466,B-MH513958,B-KU550300,B-KU550298,B-KU870411,B-KU870389,B-MF997041,B-OP850382,B-OP850381,B-OP850384,B-OP850383,B-OP850379,B-LC260283,B-LC514487,B-MH513953,B-LC228310,B-LC514498,B-MZ546118,B-KU550301,B-KU550299,B-KX880420,B-KU550302,B-LC541988,B-MH704727,B-LC228332,B-LC228321,B-LC260279,B-MT732493,B-LC386071,B-LC086742,B-LC169968,B-LC169957,B-LC169946,B-LC260277,B-KX880431,B-MG670730,B-MG670726,B-MG670729,B-LC086731,B-LC086720,B-KU059794,B-KU059783,B-KU059772,B-MG670722,B-MG670713,B-KJ639029,B-KJ639018,B-AB975803,B-AB975775,B-AB848010,B-LC751572,B-LC751602,B-KY616889,B-AB975804,B-AB975773,B-MT723912,B-MT410490,B-LC469507,B-MG573358,B-MG573357,B-LC066645,B-LC066667,B-LC066656
B-MG670726,95.37,95.86,95.30,92.92,92.43,92.85,97.38,96.97,96.76,96.49,96.76,96.21,96.21,96.14,96.49,96.28,97.66,97.80,97.66,96.63,96.49,96.56,96.56,96.56,96.63,96.63,96.49,96.49,96.90,96.76,96.90,96.76,96.56,96.56,96.76,96.42,96.49,96.07,96.14,96.28,96.42,96.35,96.49,96.56,96.56,96.69,96.90,97.04,96.76,96.90,96.90,96.90,96.90,97.73,97.80,97.93,98.14,98.00,98.14,98.28,98.42,98.42,98.42,98.62,98.69,98.21,98.55,98.90,98.97,99.04,99.04,99.04,99.10,98.76,98.90,98.97,99.04,98.76,98.55,98.97,98.97,99.04,99.04,98.90,98.62,98.48,98.55,98.55,98.55,98.90,98.62,98.76,99.10,98.83,98.83,98.97,98.97,99.04,99.04,98.69,98.76,98.69,98.69,98.76,99.17,99.10,99.24,99.17,99.17,99.17,99.17,99.17,100.00,,99.93,99.59,99.59,99.59,99.66,99.66,99.66,99.79,99.10,99.17,99.16,99.23,99.24,99.24,99.31,99.31,99.30,99.30,99.17,99.24,99.17,99.45,99.45,99.38,99.38,99.45
B-MG670729,95.23,95.86,95.30,92.78,92.29,92.71,97.31,96.90,96.69,96.42,96.69,96.28,96.28,96.07,96.42,96.21,97.59,97.73,97.59,96.56,96.42,96.49,96.49,96.49,96.56,96.56,96.42,96.42,96.83,96.69,96.83,96.69,96.49,96.49,96.69,96.35,96.42,96.01,96.07,96.21,96.35,96.28,96.42,96.63,96.63,96.63,96.83,96.97,96.69,96.83,96.83,96.83,96.83,97.66,97.73,97.87,98.07,97.93,98.07,98.21,98.35,98.35,98.35,98.55,98.62,98.14,98.48,98.83,98.90,98.97,98.97,98.97,99.04,98.69,98.83,98.90,98.97,98.69,98.48,98.90,98.90,98.97,98.97,98.83,98.55,98.42,98.48,98.48,98.48,98.83,98.55,98.69,99.04,98.76,98.76,98.90,98.90,98.97,98.97,98.62,98.69,98.62,98.62,98.69,99.10,99.04,99.17,99.10,99.10,99.10,99.10,99.10,99.93,99.93,,99.52,99.52,99.52,99.59,99.59,99.59,99.72,99.04,99.10,99.09,99.16,99.17,99.17,99.24,99.24,99.23,99.23,99.10,99.17,99.10,99.38,99.38,99.31,99.31,99.38
B-LC086731,95.65,96.14,95.58,93.20,92.71,93.13,97.66,97.25,96.90,96.76,97.04,96.56,96.56,96.49,96.83,96.63,97.93,98.07,97.93,96.90,96.76,96.83,96.83,96.83,96.90,96.90,96.63,96.63,97.18,97.04,97.18,97.04,96.83,96.83,97.04,96.69,96.76,96.42,96.42,96.56,96.69,96.63,96.76,96.83,96.83,96.97,97.18,97.31,97.04,97.18,97.18,97.18,97.18,98.00,98.07,98.21,98.42,98.28,98.42,98.69,98.69,98.69,98.69,98.90,98.97,98.48,98.83,99.17,99.24,99.31,99.31,99.31,99.38,99.04,99.17,99.24,99.31,99.04,98.83,99.24,99.24,99.31,99.31,99.17,99.04,98.76,98.83,98.83,98.83,99.17,98.90,99.04,99.38,99.10,99.10,99.24,99.24,99.31,99.31,98.97,99.04,98.97,98.97,99.04,99.45,99.38,99.52,99.45,99.45,99.45,99.45,99.45,99.59,99.59,99.52,,100.00,99.86,99.93,99.93,99.66,99.79,99.38,99.45,99.44,99.51,99.52,99.52,99.59,99.59,99.58,99.58,99.45,99.52,99.45,99.72,99.72,99.66,99.66,99.72
B-LC086720,95.65,96.14,95.58,93.20,92.71,93.13,97.66,97.25,96.90,96.76,97.04,96.56,96.56,96.49,96.83,96.63,97.93,98.07,97.93,96.90,96.76,96.83,96.83,96.83,96.90,96.90,96.63,96.63,97.18,97.04,97.18,97.04,96.83,96.83,97.04,96.69,96.76,96.42,96.42,96.56,96.69,96.63,96.76,96.83,96.83,96.97,97.18,97.31,97.04,97.18,97.18,97.18,97.18,98.00,98.07,98.21,98.42,98.28,98.42,98.69,98.69,98.69,98.69,98.90,98.97,98.48,98.83,99.17,99.24,99.31,99.31,99.31,99.38,99.04,99.17,99.24,99.31,99.04,98.83,99.24,99.24,99.31,99.31,99.17,99.04,98.76,98.83,98.83,98.83,99.17,98.90,99.04,99.38,99.10,99.10,99.24,99.24,99.31,99.31,98.97,99.04,98.97,98.97,99.04,99.45,99.38,99.52,99.45,99.45,99.45,99.45,99.45,99.59,99.59,99.52,100.00,,99.86,99.93,99.93,99.66,99.79,99.38,99.45,99.44,99.51,99.52,99.52,99.59,99.59,99.58,99.58,99.45,99.52,99.45,99.72,99.72,99.66,99.66,99.72
B-KU059794,95.51,96.00,95.44,93.06,92.57,92.99,97.66,97.25,96.90,96.76,97.04,96.49,96.49,96.42,96.76,96.56,97.93,98.21,98.07,96.90,96.76,96.83,96.83,96.83,96.90,96.90,96.63,96.63,97.18,97.04,97.18,97.04,96.83,96.83,97.04,96.69,96.76,96.35,96.42,96.56,96.69,96.63,96.76,96.83,96.83,96.97,97.18,97.31,97.04,97.18,97.18,97.18,97.18,98.00,98.07,98.21,98.42,98.28,98.42,98.55,98.69,98.83,98.69,98.90,99.10,98.48,98.83,99.17,99.24,99.31,99.31,99.31,99.38,99.04,99.17,99.24,99.31,99.04,98.83,99.24,99.24,99.31,99.31,99.17,98.90,98.76,98.83,98.83,98.83,99.17,98.90,99.04,99.38,99.10,99.10,99.24,99.24,99.31,99.31,98.97,99.04,98.97,98.97,99.04,99.45,99.38,99.52,99.45,99.45,99.45,99.45,99.45,99.59,99.59,99.52,99.86,99.86,,99.93,99.93,99.66,99.79,99.38,99.45,99.44,99.51,99.52,99.52,99.59,99.59,99.58,99.58,99.45,99.52,99.45,99.72,99.72,99.66,99.66,99.72
B-KU059783,95.65,96.14,95.58,93.20,92.71,93.13,97.73,97.31,96.97,96.83,97.11,96.56,96.56,96.49,96.83,96.63,98.00,98.14,98.00,96.97,96.83,96.90,96.90,96.90,96.97,96.97,96.69,96.69,97.25,97.11,97.25,97.11,96.90,96.90,97.11,96.76,96.83,96.42,96.49,96.63,96.76,96.69,96.83,96.90,96.90,97.04,97.25,97.38,97.11,97.25,97.25,97.25,97.25,98.07,98.14,98.28,98.48,98.35,98.48,98.62,98.76,98.76,98.76,98.97,99.04,98.55,98.90,99.24,99.31,99.38,99.38,99.38,99.45,99.10,99.24,99.31,99.38,99.10,98.90,99.31,99.31,99.38,99.38,99.24,98.97,98.83,98.90,98.90,98.90,99.24,98.97,99.10,99.45,99.17,99.17,99.31,99.31,99.38,99.38,99.04,99.10,99.04,99.04,99.10,99.52,99.45,99.59,99.52,99.52,99.52,99.52,99.52,99.66,99.66,99.59,99.93,99.93,99.93,,100.00,99.72,99.86,99.45,99.52,99.51,99.58,99.59,99.59,99.66,99.66,99.65,99.65,99.52,99.59,99.52,99.79,99.79,99.72,99.72,99.79
B-KU059772,95.65,96.14,95.58,93.20,92.71,93.13,97.73,97.31,96.97,96.83,97.11,96.56,96.56,96.49,96.83,96.63,98.00,98.14,98.00,96.97,96.83,96.90,96.90,96.90,96.97,96.97,96.69,96.69,97.25,97.11,97.25,97.11,96.90,96.90,97.11,96.76,96.83,96.42,96.49,96.63,96.76,96.69,96.83,96.90,96.90,97.04,97.25,97.38,97.11,97.25,97.25,97.25,97.25,98.07,98.14,98.28,98.48,98.35,98.48,98.62,98.76,98.76,98.76,98.97,99.04,98.55,98.90,99.24,99.31,99.38,99.38,99.38,99.45,99.10,99.24,99.31,99.38,99.10,98.90,99.31,99.31,99.38,99.38,99.24,98.97,98.83,98.90,98.90,98.90,99.24,98.97,99.10,99.45,99.17,99.17,99.31,99.31,99.38,99.38,99.04,99.10,99.04,99.04,99.10,99.52,99.45,99.59,99.52,99.52,99.52,99.52,99.52,99.66,99.66,99.59,99.93,99.93,99.93,100.00,,99.72,99.86,99.45,99.52,99.51,99.58,99.59,99.59,99.66,99.66,99.65,99.65,99.52,99.59,99.52,99.79,99.79,99.72,99.72,99.79
B-MG670722,95.51,96.00,95.44,93.06,92.57,92.99,97.45,97.04,96.83,96.56,96.83,96.28,96.28,96.21,96.56,96.35,97.73,97.87,97.73,96.69,96.56,96.63,96.63,96.63,96.69,96.69,96.42,96.42,96.97,96.83,96.97,96.83,96.63,96.63,96.83,96.49,96.56,96.14,96.21,96.49,96.49,96.42,96.56,96.63,96.63,96.76,96.97,97.11,96.83,96.97,96.97,96.97,96.97,97.80,97.87,98.00,98.21,98.07,98.21,98.35,98.48,98.48,98.48,98.69,98.76,98.28,98.62,98.97,99.04,99.10,99.10,99.10,99.17,98.83,98.97,99.04,99.10,98.83,98.62,99.04,99.04,99.10,99.10,98.97,98.69,98.55,98.62,98.62,98.62,98.97,98.69,98.83,99.17,98.90,98.90,99.04,99.04,99.10,99.10,98.76,98.83,98.76,98.76,98.97,99.24,99.17,99.31,99.24,99.24,99.24,99.24,99.24,99.66,99.66,99.59,99.66,99.66,99.66,99.72,99.72,,99.86,99.17,99.24,99.23,99.30,99.31,99.31,99.38,99.38,99.37,99.37,99.24,99.31,99.38,99.52,99.52,99.45,99.45,99.52
B-MG670713,95.51,96.00,95.44,93.06,92.57,92.99,97.59,97.18,96.97,96.69,96.97,96.42,96.42,96.35,96.69,96.49,97.87,98.00,97.87,96.83,96.69,96.76,96.76,96.76,96.83,96.83,96.56,96.56,97.11,96.97,97.11,96.97,96.76,96.76,96.97,96.63,96.69,96.28,96.35,96.49,96.63,96.56,96.69,96.76,96.76,96.90,97.11,97.25,96.97,97.11,97.11,97.11,97.11,97.93,98.00,98.14,98.35,98.21,98.35,98.48,98.62,98.62,98.62,98.83,98.90,98.42,98.76,99.10,99.17,99.24,99.24,99.24,99.31,98.97,99.10,99.17,99.24,98.97,98.76,99.17,99.17,99.24,99.24,99.10,98.83,98.69,98.76,98.76,98.76,99.10,98.83,98.97,99.31,99.04,99.04,99.17,99.17,99.24,99.24,98.90,98.97,98.90,98.90,98.97,99.38,99.31,99.45,99.38,99.38,99.38,99.38,99.38,99.79,99.79,99.72,99.79,99.79,99.79,99.86,99.86,99.86,,99.31,99.38,99.37,99.44,99.45,99.45,99.52,99.52,99.51,99.51,99.38,99.45,99.38,99.66,99.66,99.59,99.59,99.66
B-KJ639029,95.51,96.00,95.44,93.06,92.57,92.99,97.45,97.04,96.69,96.56,96.83,96.28,96.28,96.21,96.56,96.35,97.73,97.87,97.73,96.69,96.56,96.63,96.63,96.63,96.69,96.69,96.42,96.42,96.97,96.69,96.97,96.83,96.63,96.63,96.83,96.49,96.56,96.21,96.28,96.42,96.49,96.42,96.56,96.63,96.63,96.76,96.97,97.11,96.83,96.97,96.97,96.97,96.97,97.80,97.87,98.00,98.21,98.07,98.21,98.35,98.48,98.48,98.48,98.69,98.76,98.28,98.62,98.97,99.04,99.10,99.10,99.10,99.17,98.83,98.97,99.04,99.10,98.83,98.62,99.04,99.04,99.10,99.10,98.97,98.69,98.55,98.62,98.62,98.62,98.97,98.69,98.83,99.17,98.90,98.90,99.04,99.04,99.10,99.10,98.76,98.83,98.76,98.76,98.83,99.24,99.17,99.31,99.24,99.24,99.24,98.97,98.97,99.10,99.10,99.04,99.38,99.38,99.38,99.45,99.45,99.17,99.31,,99.79,99.23,99.30,99.31,99.31,99.38,99.38,99.37,99.37,99.10,99.17,99.24,99.52,99.52,99.45,99.45,99.52
B-KJ639018,95.51,96.00,95.44,93.06,92.57,92.99,97.52,97.25,96.90,96.76,97.04,96.35,96.35,96.28,96.63,96.42,97.80,97.93,97.80,96.76,96.63,96.69,96.69,96.69,96.76,96.76,96.49,96.49,97.04,96.76,97.04,96.90,96.69,96.69,96.90,96.56,96.63,96.28,96.35,96.49,96.56,96.49,96.63,96.69,96.69,96.83,97.04,97.18,96.90,97.04,97.04,97.04,97.04,97.87,97.93,98.07,98.28,98.14,98.28,98.42,98.55,98.55,98.55,98.76,98.83,98.35,98.69,99.04,99.10,99.17,99.17,99.17,99.24,98.90,99.04,99.10,99.17,98.90,98.69,99.10,99.10,99.17,99.17,99.04,98.76,98.62,98.69,98.69,98.69,99.04,98.76,98.90,99.24,98.97,98.97,99.10,99.10,99.17,99.17,98.83,98.90,98.83,98.83,98.90,99.31,99.24,99.38,99.31,99.31,99.31,99.04,99.04,99.17,99.17,99.10,99.45,99.45,99.45,99.52,99.52,99.24,99.38,99.79,,99.30,99.37,99.38,99.38,99.45,99.45,99.44,99.44,99.17,99.24,99.31,99.59,99.59,99.52,99.52,99.59
B-AB975803,95.23,95.72,95.16,92.78,92.29,92.71,97.49,96.93,96.58,96.44,96.72,96.23,96.23,96.16,96.51,96.30,97.63,97.77,97.63,96.72,96.58,96.65,96.65,96.65,96.72,96.72,96.44,96.44,96.86,96.79,96.93,96.79,96.58,96.58,96.79,96.44,96.51,96.09,96.16,96.30,96.44,96.37,96.51,96.58,96.58,96.72,96.93,97.07,96.79,96.93,96.93,96.93,96.93,97.70,97.77,97.91,98.12,97.98,98.19,98.26,98.40,98.40,98.40,98.61,98.68,98.19,98.54,98.95,99.02,99.02,99.02,99.02,99.09,98.74,98.88,98.95,99.16,98.88,98.68,99.09,99.09,99.16,99.16,99.02,98.74,98.61,98.68,98.68,98.68,99.16,98.74,98.88,99.23,98.95,98.95,99.09,99.09,99.16,99.16,98.81,98.88,98.81,98.81,98.95,99.30,99.23,99.37,99.30,99.30,99.30,99.02,99.02,99.16,99.16,99.09,99.44,99.44,99.44,99.51,99.51,99.23,99.37,99.23,99.30,,99.79,99.79,99.79,99.86,99.86,99.86,99.86,99.16,99.23,99.30,99.58,99.58,99.51,99.51,99.58
B-AB975775,95.51,96.00,95.44,93.06,92.57,92.99,97.56,97.00,96.65,96.51,96.79,96.30,96.30,96.23,96.58,96.37,97.70,97.84,97.70,96.79,96.65,96.72,96.72,96.72,96.79,96.79,96.51,96.51,96.93,96.86,97.14,96.86,96.65,96.65,96.86,96.51,96.58,96.16,96.23,96.37,96.51,96.44,96.58,96.65,96.65,96.79,97.00,97.14,96.86,97.00,97.00,97.00,97.00,97.77,97.84,97.98,98.19,98.05,98.26,98.33,98.47,98.47,98.47,98.68,98.74,98.26,98.61,99.02,99.09,99.09,99.09,99.09,99.16,98.81,98.95,99.02,99.23,98.95,98.74,99.16,99.16,99.23,99.23,99.09,98.81,98.68,98.74,98.74,98.74,99.23,98.81,98.95,99.30,99.02,99.02,99.16,99.16,99.23,99.23,98.88,98.95,98.88,98.88,99.02,99.37,99.30,99.44,99.37,99.37,99.37,99.09,99.09,99.23,99.23,99.16,99.51,99.51,99.51,99.58,99.58,99.30,99.44,99.30,99.37,99.79,,99.86,99.86,99.93,99.93,99.93,99.93,99.23,99.30,99.37,99.65,99.65,99.58,99.58,99.65
B-AB848010,95.37,95.86,95.30,92.92,92.43,92.85,97.59,97.04,96.69,96.56,96.83,96.42,96.42,96.35,96.69,96.49,97.73,97.87,97.73,96.69,96.56,96.63,96.63,96.63,96.69,96.69,96.42,96.42,96.97,96.83,96.97,96.83,96.63,96.63,96.83,96.49,96.56,96.14,96.21,96.35,96.49,96.42,96.56,96.63,96.63,96.76,96.97,97.11,96.83,96.97,96.97,96.97,96.97,97.80,97.87,98.00,98.21,98.07,98.21,98.35,98.48,98.48,98.48,98.69,98.76,98.28,98.62,98.97,99.04,99.10,99.10,99.10,99.17,98.83,98.97,99.04,99.24,99.10,98.76,99.17,99.17,99.24,99.24,99.10,98.83,98.69,98.76,98.76,98.76,99.24,98.83,98.97,99.31,99.04,99.04,99.17,99.17,99.24,99.24,98.90,98.97,98.90,98.90,98.97,99.38,99.31,99.45,99.38,99.38,99.38,99.10,99.10,99.24,99.24,99.17,99.52,99.52,99.52,99.59,99.59,99.31,99.45,99.31,99.38,99.79,99.86,,99.86,99.93,99.93,99.93,99.93,99.24,99.31,99.38,99.66,99.66,99.59,99.59,99.66
B-LC751572,95.51,96.00,95.44,93.06,92.57,92.99,97.59,97.04,96.83,96.56,96.83,96.28,96.28,96.21,96.56,96.35,97.73,97.87,97.73,96.69,96.56,96.63,96.63,96.63,96.69,96.69,96.42,96.42,96.97,96.83,96.97,96.83,96.63,96.63,96.83,96.49,96.56,96.14,96.21,96.35,96.49,96.42,96.56,96.63,96.63,96.76,96.97,97.11,96.83,96.97,96.97,96.97,96.97,97.80,97.87,98.00,98.35,98.21,98.21,98.35,98.48,98.48,98.48,98.69,98.76,98.28,98.62,98.97,99.04,99.10,99.10,99.10,99.17,98.83,98.97,99.04,99.24,98.97,98.90,99.17,99.17,99.24,99.24,99.10,98.97,98.83,98.90,98.90,98.90,99.24,98.97,99.10,99.31,99.17,99.17,99.31,99.31,99.38,99.38,98.90,98.97,98.90,98.90,98.97,99.38,99.31,99.45,99.38,99.38,99.38,99.10,99.10,99.24,99.24,99.17,99.52,99.52,99.52,99.59,99.59,99.31,99.45,99.31,99.38,99.79,99.86,99.86,,99.93,99.93,99.93,99.93,99.24,99.31,99.38,99.66,99.66,99.59,99.59,99.66
B-LC751602,95.51,96.00,95.44,93.06,92.57,92.99,97.66,97.11,96.76,96.63,96.90,96.35,96.35,96.28,96.63,96.42,97.80,97.93,97.80,96.76,96.63,96.69,96.69,96.69,96.76,96.76,96.49,96.49,97.04,96.90,97.04,96.90,96.69,96.69,96.90,96.56,96.63,96.21,96.28,96.42,96.56,96.49,96.63,96.69,96.69,96.83,97.04,97.18,96.90,97.04,97.04,97.04,97.04,97.87,97.93,98.07,98.28,98.14,98.28,98.42,98.55,98.55,98.55,98.76,98.83,98.35,98.69,99.04,99.10,99.17,99.17,99.17,99.24,98.90,99.04,99.10,99.31,99.04,98.83,99.24,99.24,99.31,99.31,99.17,98.90,98.76,98.83,98.83,98.83,99.31,98.90,99.04,99.38,99.10,99.10,99.24,99.24,99.31,99.31,98.97,99.04,98.97,98.97,99.04,99.45,99.38,99.52,99.45,99.45,99.45,99.17,99.17,99.31,99.31,99.24,99.59,99.59,99.59,99.66,99.66,99.38,99.52,99.38,99.45,99.86,99.93,99.93,99.93,,100.00,100.00,100.00,99.31,99.38,99.45,99.72,99.72,99.66,99.66,99.72
B-KY616889,95.51,96.00,95.44,93.06,92.57,92.99,97.66,97.11,96.76,96.63,96.90,96.35,96.35,96.28,96.63,96.42,97.80,97.93,97.80,96.76,96.63,96.69,96.69,96.69,96.76,96.76,96.49,96.49,97.04,96.90,97.04,96.90,96.69,96.69,96.90,96.56,96.63,96.21,96.28,96.42,96.56,96.49,96.63,96.69,96.69,96.83,97.04,97.18,96.90,97.04,97.04,97.04,97.04,97.87,97.93,98.07,98.28,98.14,98.28,98.42,98.55,98.55,98.55,98.76,98.83,98.35,98.69,99.04,99.10,99.17,99.17,99.17,99.24,98.90,99.04,99.10,99.31,99.04,98.83,99.24,99.24,99.31,99.31,99.17,98.90,98.76,98.83,98.83,98.83,99.31,98.90,99.04,99.38,99.10,99.10,99.24,99.24,99.31,99.31,98.97,99.04,98.97,98.97,99.04,99.45,99.38,99.52,99.45,99.45,99.45,99.17,99.17,99.31,99.31,99.24,99.59,99.59,99.59,99.66,99.66,99.38,99.52,99.38,99.45,99.86,99.93,99.93,99.93,100.00,,100.00,100.00,99.31,99.38,99.45,99.72,99.72,99.66,99.66,99.72
B-AB975804,95.51,96.00,95.44,93.06,92.57,92.99,97.63,97.07,96.72,96.58,96.86,96.37,96.37,96.30,96.65,96.44,97.77,97.91,97.77,96.86,96.72,96.79,96.79,96.79,96.86,96.86,96.58,96.58,97.00,96.93,97.07,96.93,96.72,96.72,96.93,96.58,96.65,96.23,96.30,96.44,96.58,96.51,96.65,96.72,96.72,96.86,97.07,97.21,96.93,97.07,97.07,97.07,97.07,97.84,97.91,98.05,98.26,98.12,98.33,98.40,98.54,98.54,98.54,98.74,98.81,98.33,98.68,99.09,99.16,99.16,99.16,99.16,99.23,98.88,99.02,99.09,99.30,99.02,98.81,99.23,99.23,99.30,99.30,99.16,98.88,98.74,98.81,98.81,98.81,99.30,98.88,99.02,99.37,99.09,99.09,99.23,99.23,99.30,99.30,98.95,99.02,98.95,98.95,99.09,99.44,99.37,99.51,99.44,99.44,99.44,99.16,99.16,99.30,99.30,99.23,99.58,99.58,99.58,99.65,99.65,99.37,99.51,99.37,99.44,99.86,99.93,99.93,99.93,100.00,100.00,,100.00,99.30,99.37,99.44,99.72,99.72,99.65,99.65,99.72
B-AB975773,95.51,96.00,95.44,93.06,92.57,92.99,97.63,97.07,96.72,96.58,96.86,96.37,96.37,96.30,96.65,96.44,97.77,97.91,97.77,96.86,96.72,96.79,96.79,96.79,96.86,96.86,96.58,96.58,97.00,96.93,97.07,96.93,96.72,96.72,96.93,96.58,96.65,96.23,96.30,96.44,96.58,96.51,96.65,96.72,96.72,96.86,97.07,97.21,96.93,97.07,97.07,97.07,97.07,97.84,97.91,98.05,98.26,98.12,98.33,98.40,98.54,98.54,98.54,98.74,98.81,98.33,98.68,99.09,99.16,99.16,99.16,99.16,99.23,98.88,99.02,99.09,99.30,99.02,98.81,99.23,99.23,99.30,99.30,99.16,98.88,98.74,98.81,98.81,98.81,99.30,98.88,99.02,99.37,99.09,99.09,99.23,99.23,99.30,99.30,98.95,99.02,98.95,98.95,99.09,99.44,99.37,99.51,99.44,99.44,99.44,99.16,99.16,99.30,99.30,99.23,99.58,99.58,99.58,99.65,99.65,99.37,99.51,99.37,99.44,99.86,99.93,99.93,99.93,100.00,100.00,100.00,,99.30,99.37,99.44,99.72,99.72,99.65,99.65,99.72
B-MT723912,95.51,96.00,95.44,93.06,92.57,92.99,97.38,96.97,96.63,96.49,96.76,96.21,96.21,96.14,96.49,96.28,97.66,97.80,97.66,96.63,96.49,96.56,96.56,96.56,96.63,96.63,96.35,96.35,96.90,96.76,96.90,96.76,96.56,96.56,96.76,96.42,96.49,96.07,96.28,96.28,96.42,96.35,96.49,96.56,96.56,96.69,96.90,97.04,96.76,96.90,96.90,96.90,96.90,97.73,97.80,98.07,98.14,98.00,98.21,98.35,98.42,98.42,98.42,98.62,98.69,98.21,98.55,98.90,98.97,99.04,99.04,99.04,99.10,98.76,98.90,98.97,99.04,98.76,98.55,98.97,98.97,99.04,99.04,98.90,98.62,98.48,98.55,98.55,98.55,98.90,98.62,98.76,99.10,98.83,98.83,98.97,98.97,99.04,99.04,98.69,98.76,98.69,98.69,98.90,99.31,99.24,99.38,99.31,99.31,99.31,99.04,99.04,99.17,99.17,99.10,99.45,99.45,99.45,99.52,99.52,99.24,99.38,99.10,99.17,99.16,99.23,99.24,99.24,99.31,99.31,99.30,99.30,,99.93,99.31,99.45,99.45,99.52,99.52,99.59
B-MT410490,95.65,96.14,95.58,93.20,92.71,93.13,97.45,97.04,96.69,96.56,96.83,96.28,96.28,96.21,96.56,96.35,97.73,97.87,97.73,96.69,96.56,96.63,96.63,96.63,96.69,96.69,96.42,96.42,96.97,96.83,96.97,96.83,96.63,96.63,96.83,96.49,96.56,96.14,96.35,96.35,96.49,96.42,96.56,96.63,96.63,96.76,96.97,97.11,96.83,96.97,96.97,96.97,96.97,97.80,97.87,98.14,98.21,98.07,98.28,98.42,98.48,98.48,98.48,98.69,98.76,98.28,98.62,98.97,99.04,99.10,99.10,99.10,99.17,98.83,98.97,99.04,99.10,98.83,98.62,99.04,99.04,99.10,99.10,98.97,98.69,98.55,98.62,98.62,98.62,98.97,98.69,98.83,99.17,98.90,98.90,99.04,99.04,99.10,99.10,98.76,98.83,98.76,98.76,98.97,99.38,99.31,99.45,99.38,99.38,99.38,99.10,99.10,99.24,99.24,99.17,99.52,99.52,99.52,99.59,99.59,99.31,99.45,99.17,99.24,99.23,99.30,99.31,99.31,99.38,99.38,99.37,99.37,99.93,,99.38,99.52,99.52,99.59,99.59,99.66
B-LC469507,95.65,96.14,95.58,93.20,92.71,93.13,97.38,97.11,96.76,96.63,96.90,96.35,96.35,96.28,96.63,96.42,97.80,97.93,97.80,96.76,96.63,96.69,96.69,96.69,96.76,96.76,96.49,96.49,97.04,96.90,97.04,96.90,96.69,96.69,96.90,96.56,96.63,96.21,96.28,96.42,96.56,96.49,96.63,96.69,96.69,96.83,97.04,97.18,96.90,97.04,97.04,97.04,97.04,97.87,97.93,98.07,98.28,98.14,98.28,98.42,98.55,98.55,98.55,98.76,98.83,98.21,98.55,98.90,98.97,99.04,99.04,99.04,99.10,98.90,99.04,99.10,99.17,98.90,98.69,99.10,99.10,99.17,99.17,99.04,98.76,98.62,98.69,98.69,98.69,99.04,98.76,99.04,99.24,98.97,98.97,99.10,99.10,99.17,99.17,98.83,98.90,98.83,98.83,99.45,99.45,99.38,99.52,99.45,99.45,99.45,99.04,99.04,99.17,99.17,99.10,99.45,99.45,99.45,99.52,99.52,99.38,99.38,99.24,99.31,99.30,99.37,99.38,99.38,99.45,99.45,99.44,99.44,99.31,99.38,,99.59,99.59,99.66,99.66,99.72
B-MG573358,95.65,96.14,95.58,93.20,92.71,93.13,97.66,97.25,96.90,96.76,97.04,96.49,96.49,96.42,96.76,96.56,97.93,98.07,97.93,96.90,96.76,96.83,96.83,96.83,96.90,96.90,96.63,96.63,97.18,97.04,97.18,97.04,96.83,96.83,97.04,96.69,96.76,96.35,96.42,96.56,96.69,96.63,96.76,96.83,96.83,96.97,97.18,97.31,97.04,97.18,97.18,97.18,97.18,98.00,98.07,98.21,98.42,98.28,98.42,98.55,98.69,98.69,98.69,98.90,98.97,98.48,98.83,99.17,99.24,99.31,99.31,99.31,99.38,99.04,99.17,99.24,99.45,99.17,98.97,99.38,99.38,99.45,99.45,99.31,99.04,98.90,98.97,98.97,98.97,99.31,99.04,99.17,99.52,99.24,99.24,99.38,99.38,99.45,99.45,99.10,99.17,99.10,99.10,99.17,99.59,99.52,99.66,99.59,99.59,99.59,99.31,99.31,99.45,99.45,99.38,99.72,99.72,99.72,99.79,99.79,99.52,99.66,99.52,99.59,99.58,99.65,99.66,99.66,99.72,99.72,99.72,99.72,99.45,99.52,99.59,,100.00,99.79,99.79,99.86
