,D-HQ657138,D-LC169962,D-LC169951,D-LC169940,D-MT723917,D-MT410495,A-PX211140,A-KC443345,A-LC569097,A-LC477450,A-LC569080,A-LC228370,A-LC569052,A-LC228348,A-LC228337,A-OP717089,A-OP717086,A-LC105569,A-KJ752161,A-MG181887,A-MG181766,A-KC443367,A-KC443222,A-PX211177,A-KJ721724,A-KJ721726,A-MN479030,A-MN479026,A-MN479018,A-MN478971,A-MN479017,A-KF716360,A-KC834711,A-KJ919308,A-KC443356,B-KJ639023,B-KJ639012,B-LC260244,B-KX880428,B-MG670645,B-MG670646,B-MG670642,B-KU059788,B-KU059777,B-KU059766,B-MG670638,B-MG670629,B-LC086725,B-LC086714,B-LC469415,B-LC260246,B-PX211157,B-LC169984,B-LC169973,B-KJ919372,B-LC086802,B-LC086791,B-LC086780,B-LC086736,B-KC178763,B-KC443763,B-KC443323,B-KC443631,B-KC443455,B-KC443200,B-PX211078,B-LC514470,B-MZ546115,B-KX880417,B-KU550266,B-KU550265,B-KU550263,B-LC325463,B-MH704719,B-LC541985,B-LC228326,B-LC228315,B-MT732498,B-LC386065,B-LC514481,B-MG599518,B-MG599517,B-AB975623,B-AB975625,B-AB975653,B-AB848007,B-AB975654,B-LC751266,B-LC751236,B-KY616885,B-LC066661,B-LC066650,B-LC066639,B-PX211080,B-LC260250,B-KU550264,B-KU550262,B-KU870407,B-KU870385,B-MH569748,B-MH569747,B-MF997035,B-MH704718,B-LC228304,B-KC442974,B-KC178768,B-KU356574,B-HQ641355,B-KC443007,B-KR705201,C-KJ721719,C-LC105580,C-MN479107,C-PP861577,C-PP861567,C-OP850442,C-PX211142,C-KC442963,C-KJ721722,C-LC514503,C-OP850443,C-PP861633,C-PP861579,C-KU199270,C-MG181656,C-MW715606,C-MG670643,C-MG670640,C-LC514514,C-MH166403,C-LC514492,C-OP850448,C-OP850447,C-OP850449,C-OP850446,C-OP850444,C-KF716356,C-KF716349,C-KU248405,C-KU248394
C-PP861577,86.41,86.32,86.28,86.28,86.28,86.32,94.02,94.55,94.37,94.37,94.40,94.40,94.46,94.43,94.43,94.33,94.30,94.12,94.02,93.90,94.06,93.81,93.81,93.28,94.46,94.63,94.58,94.61,94.61,94.61,94.58,94.06,94.49,94.37,94.40,93.99,94.06,93.90,93.93,93.99,94.06,94.09,93.96,94.02,94.09,94.02,94.12,94.09,94.09,94.21,94.12,93.92,94.37,94.43,94.27,94.21,94.18,94.27,94.24,94.29,94.58,94.58,94.55,94.46,94.52,93.88,93.84,93.93,94.06,93.99,94.06,93.99,94.12,94.12,94.12,94.12,94.18,94.12,94.09,94.15,94.40,94.40,94.40,94.46,94.46,94.40,94.37,94.37,94.37,94.40,94.21,94.21,94.18,94.26,93.93,94.09,94.06,94.15,94.12,94.21,94.21,94.21,94.37,94.27,94.37,94.33,94.15,94.52,94.43,94.64,95.20,99.01,99.57,,99.85,99.85,97.76,98.11,98.36,97.68,97.99,97.71,97.74,96.87,97.21,97.18,97.40,97.37,97.21,97.34,97.09,97.00,96.97,97.00,97.00,97.00,97.49,97.49,97.34,97.62
C-PP861567,86.44,86.35,86.32,86.32,86.32,86.35,93.99,94.52,94.33,94.33,94.37,94.37,94.43,94.40,94.40,94.30,94.27,94.09,93.99,93.87,94.02,93.78,93.78,93.18,94.37,94.60,94.55,94.58,94.58,94.58,94.55,94.02,94.46,94.33,94.37,94.02,94.09,93.93,93.96,94.02,94.09,94.12,93.99,94.06,94.12,94.06,94.15,94.12,94.12,94.24,94.15,93.95,94.40,94.46,94.30,94.24,94.21,94.30,94.27,94.32,94.61,94.61,94.58,94.49,94.55,93.91,93.87,93.96,94.09,94.02,94.09,94.02,94.15,94.15,94.15,94.15,94.21,94.15,94.12,94.18,94.43,94.43,94.43,94.49,94.49,94.43,94.40,94.40,94.40,94.43,94.24,94.24,94.21,94.29,93.96,94.12,94.09,94.12,94.09,94.24,94.24,94.24,94.40,94.30,94.33,94.30,94.12,94.49,94.46,94.67,95.17,99.04,99.60,99.85,,99.94,97.73,98.08,98.33,97.65,97.96,97.68,97.71,96.84,97.18,97.15,97.37,97.34,97.18,97.31,97.06,96.97,96.93,96.97,96.97,96.97,97.46,97.46,97.31,97.59
C-OP850442,86.50,86.35,86.32,86.32,86.32,86.35,93.99,94.52,94.33,94.33,94.37,94.37,94.43,94.40,94.40,94.30,94.27,94.09,93.99,93.87,94.02,93.78,93.78,93.18,94.37,94.60,94.55,94.58,94.58,94.58,94.55,94.02,94.46,94.33,94.37,94.02,94.09,93.93,93.96,94.02,94.09,94.12,93.99,94.06,94.12,94.06,94.15,94.12,94.12,94.24,94.15,93.95,94.40,94.46,94.30,94.24,94.21,94.30,94.27,94.32,94.61,94.61,94.58,94.49,94.55,93.91,93.87,93.96,94.09,94.02,94.09,94.02,94.15,94.15,94.15,94.15,94.21,94.15,94.12,94.18,94.43,94.43,94.43,94.49,94.49,94.43,94.40,94.40,94.40,94.43,94.24,94.24,94.21,94.29,93.96,94.12,94.09,94.12,94.09,94.24,94.24,94.24,94.40,94.30,94.33,94.30,94.12,94.49,94.46,94.67,95.17,99.04,99.60,99.85,99.94,,97.73,98.08,98.33,97.65,97.96,97.68,97.71,96.84,97.18,97.15,97.37,97.34,97.18,97.31,97.06,96.97,96.93,96.97,96.97,96.97,97.46,97.46,97.31,97.59
C-PX211142,86.03,85.89,85.86,85.86,85.86,85.89,94.21,94.98,94.57,94.57,94.61,94.61,94.67,94.64,94.64,94.54,94.51,94.50,94.40,94.14,94.23,94.02,94.02,93.54,94.64,94.87,94.82,94.85,94.85,94.85,94.82,94.54,94.85,94.70,94.73,94.23,94.30,94.14,94.17,94.23,94.30,94.33,94.20,94.26,94.33,94.17,94.36,94.33,94.33,94.45,94.36,94.22,94.48,94.48,94.45,94.45,94.42,94.48,94.48,94.51,94.82,94.82,94.79,94.70,94.76,94.06,93.99,94.08,94.20,94.14,94.14,94.14,94.30,94.33,94.33,94.33,94.39,94.30,94.26,94.26,94.51,94.51,94.57,94.57,94.64,94.57,94.54,94.54,94.54,94.57,94.39,94.39,94.36,94.36,94.08,94.20,94.17,94.26,94.23,94.39,94.39,94.33,94.48,94.39,94.70,94.79,94.36,94.82,94.79,95.01,95.47,98.17,98.04,97.76,97.73,97.73,,98.46,98.94,98.82,99.06,98.85,98.82,97.21,97.64,97.39,97.55,97.55,97.64,97.73,97.45,97.33,97.30,97.33,97.33,97.33,97.73,97.73,97.70,97.95
C-KC442963,86.02,86.19,86.16,86.16,86.16,86.19,94.49,95.09,94.75,94.75,94.78,94.78,94.85,94.81,94.81,94.72,94.69,94.60,94.50,94.16,94.26,94.12,94.12,93.62,94.72,94.95,94.91,94.94,94.94,94.94,94.91,94.38,94.81,94.66,94.69,94.32,94.38,94.23,94.26,94.32,94.38,94.41,94.29,94.35,94.41,94.32,94.44,94.41,94.41,94.54,94.44,94.27,94.57,94.57,94.60,94.60,94.57,94.63,94.63,94.58,94.91,94.91,94.88,94.78,94.85,94.17,94.10,94.20,94.26,94.20,94.26,94.20,94.38,94.38,94.38,94.38,94.44,94.38,94.35,94.35,94.66,94.66,94.66,94.66,94.72,94.66,94.63,94.63,94.63,94.66,94.47,94.47,94.44,94.43,94.13,94.29,94.26,94.29,94.26,94.41,94.41,94.41,94.57,94.47,94.97,94.97,94.54,94.97,95.00,95.15,95.65,98.39,98.36,98.11,98.08,98.08,98.46,,99.02,98.34,98.65,98.37,98.41,97.48,97.88,97.66,97.82,97.82,97.88,98.00,97.69,97.54,97.51,97.54,97.54,97.54,98.10,98.11,98.00,98.28
C-KJ721722,86.22,86.32,86.28,86.28,86.28,86.32,94.79,95.45,95.14,95.14,95.17,95.17,95.23,95.20,95.20,95.11,95.08,94.98,94.89,94.61,94.71,94.49,94.49,93.89,95.08,95.31,95.26,95.29,95.29,95.29,95.26,94.80,95.23,95.08,95.11,94.64,94.71,94.55,94.58,94.64,94.71,94.74,94.61,94.67,94.74,94.58,94.77,94.74,94.74,94.86,94.71,94.50,94.92,94.92,94.86,94.86,94.83,94.89,94.89,94.94,95.26,95.26,95.23,95.11,95.17,94.40,94.37,94.46,94.58,94.52,94.58,94.52,94.71,94.71,94.77,94.71,94.83,94.71,94.67,94.67,94.92,94.92,94.98,94.98,95.05,94.98,94.95,94.95,94.95,94.98,94.80,94.80,94.77,94.72,94.46,94.61,94.58,94.61,94.58,94.74,94.74,94.74,94.89,94.80,95.20,95.26,94.86,95.33,95.29,95.51,96.07,98.73,98.67,98.36,98.33,98.33,98.94,99.02,,98.76,99.07,98.85,98.82,97.83,98.24,98.08,98.24,98.24,98.17,98.42,98.05,97.89,97.86,97.89,97.89,97.89,98.45,98.45,98.36,98.64
C-LC514503,85.82,85.82,85.79,85.79,85.79,85.82,94.09,94.74,94.40,94.33,94.37,94.37,94.43,94.40,94.40,94.30,94.27,94.24,94.15,93.93,94.02,93.87,93.87,93.21,94.43,94.66,94.61,94.64,94.64,94.64,94.61,94.09,94.52,94.37,94.40,94.09,94.21,93.99,94.02,94.09,94.15,94.18,94.06,94.12,94.18,94.02,94.21,94.18,94.18,94.30,94.21,94.01,94.33,94.33,94.30,94.30,94.27,94.33,94.40,94.35,94.67,94.67,94.64,94.55,94.61,93.85,93.81,93.90,94.02,93.96,93.96,93.96,94.15,94.15,94.15,94.15,94.21,94.15,94.12,94.12,94.37,94.37,94.43,94.43,94.49,94.43,94.40,94.40,94.40,94.43,94.24,94.24,94.21,94.16,93.90,94.06,94.09,94.12,94.09,94.24,94.18,94.18,94.33,94.24,94.49,94.61,94.15,94.61,94.71,94.86,95.29,97.99,97.99,97.68,97.65,97.65,98.82,98.34,98.76,,99.57,99.54,99.57,97.15,97.55,97.34,97.49,97.49,97.65,97.74,97.46,97.28,97.24,97.28,97.28,97.28,97.71,97.77,97.65,97.89
C-OP850443,85.82,85.88,85.85,85.85,85.85,85.88,94.26,95.05,94.64,94.64,94.67,94.67,94.74,94.71,94.71,94.61,94.58,94.55,94.46,94.24,94.33,94.18,94.18,93.47,94.74,94.97,94.92,94.95,94.95,94.95,94.92,94.40,94.83,94.67,94.71,94.33,94.40,94.24,94.27,94.33,94.40,94.43,94.30,94.37,94.43,94.27,94.46,94.43,94.43,94.49,94.46,94.20,94.58,94.58,94.55,94.55,94.52,94.58,94.64,94.60,94.92,94.92,94.89,94.80,94.86,94.09,94.06,94.15,94.27,94.21,94.21,94.21,94.40,94.40,94.40,94.40,94.46,94.40,94.37,94.37,94.61,94.61,94.67,94.67,94.74,94.67,94.64,94.64,94.64,94.67,94.49,94.49,94.46,94.41,94.15,94.30,94.27,94.37,94.33,94.49,94.43,94.43,94.58,94.49,94.80,94.86,94.46,94.92,94.89,95.11,95.57,98.30,98.30,97.99,97.96,97.96,99.06,98.65,99.07,99.57,,99.66,99.69,97.46,97.86,97.65,97.80,97.80,97.89,97.99,97.71,97.52,97.49,97.52,97.52,97.52,97.96,97.96,97.96,98.20
C-PP861633,85.60,85.73,85.70,85.70,85.70,85.73,94.05,94.80,94.40,94.40,94.43,94.43,94.49,94.46,94.46,94.37,94.33,94.30,94.21,93.99,94.09,93.93,93.93,93.31,94.46,94.69,94.64,94.67,94.67,94.67,94.64,94.18,94.61,94.46,94.49,94.06,94.12,93.96,93.99,94.06,94.12,94.15,94.02,94.09,94.15,93.99,94.18,94.15,94.15,94.21,94.18,93.92,94.30,94.30,94.27,94.27,94.24,94.30,94.37,94.32,94.64,94.64,94.61,94.52,94.58,93.82,93.78,93.87,93.99,93.93,93.93,93.93,94.12,94.12,94.12,94.12,94.18,94.12,94.09,94.09,94.33,94.33,94.40,94.40,94.46,94.40,94.37,94.37,94.37,94.40,94.21,94.21,94.18,94.13,93.87,94.02,94.06,94.09,94.06,94.21,94.15,94.15,94.30,94.21,94.52,94.64,94.18,94.64,94.61,94.83,95.29,98.02,98.02,97.71,97.68,97.68,98.85,98.37,98.85,99.54,99.66,,99.78,97.18,97.59,97.37,97.52,97.52,97.68,97.77,97.49,97.31,97.28,97.31,97.31,97.31,97.68,97.68,97.68,97.93
C-PP861579,85.70,85.70,85.67,85.67,85.67,85.70,94.05,94.80,94.40,94.46,94.43,94.43,94.49,94.46,94.46,94.37,94.33,94.33,94.24,93.99,94.09,93.93,93.93,93.28,94.49,94.72,94.67,94.71,94.71,94.71,94.67,94.15,94.58,94.43,94.46,94.09,94.15,93.99,94.02,94.09,94.15,94.18,94.06,94.12,94.18,94.02,94.21,94.18,94.18,94.24,94.21,93.95,94.33,94.33,94.30,94.30,94.27,94.33,94.40,94.35,94.67,94.67,94.64,94.55,94.61,93.85,93.81,93.90,94.02,93.96,93.96,93.96,94.15,94.15,94.15,94.15,94.21,94.15,94.12,94.12,94.37,94.37,94.43,94.43,94.49,94.43,94.40,94.40,94.40,94.43,94.24,94.24,94.21,94.16,93.90,94.06,94.09,94.12,94.09,94.24,94.18,94.18,94.33,94.24,94.55,94.67,94.21,94.67,94.64,94.86,95.33,98.05,98.05,97.74,97.71,97.71,98.82,98.41,98.82,99.57,99.69,99.78,,97.21,97.62,97.40,97.55,97.55,97.71,97.80,97.52,97.34,97.31,97.34,97.34,97.34,97.71,97.71,97.71,97.96
C-KU199270,86.22,86.59,86.56,86.56,86.56,86.59,95.36,96.38,96.01,96.01,96.04,96.04,96.10,96.07,96.07,96.04,96.07,95.85,95.76,95.42,95.51,95.23,95.23,94.38,95.98,96.21,96.16,96.19,96.19,96.19,96.16,95.57,95.94,95.79,95.82,95.70,95.76,95.60,95.63,95.70,95.76,95.79,95.67,95.73,95.79,95.63,95.82,95.79,95.79,95.67,95.63,95.40,95.79,95.79,95.85,95.79,95.76,95.76,95.82,95.87,96.19,96.19,96.16,96.04,96.10,95.30,95.33,95.45,95.57,95.51,95.57,95.51,95.63,95.76,95.76,95.70,95.76,95.63,95.60,95.63,95.85,95.85,95.91,95.91,95.98,95.91,95.88,95.88,95.88,95.91,95.79,95.79,95.76,95.71,95.51,95.60,95.57,95.60,95.57,95.73,95.67,95.73,95.88,95.79,96.44,96.63,95.94,96.44,96.28,96.50,95.94,97.15,97.15,96.87,96.84,96.84,97.21,97.48,97.83,97.15,97.46,97.18,97.21,,97.49,97.46,97.55,97.55,97.21,97.52,97.28,97.12,97.09,97.12,97.12,97.12,97.46,97.46,97.55,97.89
C-MG181656,86.04,85.85,85.82,85.82,85.82,85.85,94.29,94.89,94.71,94.71,94.74,94.74,94.80,94.77,94.77,94.61,94.58,94.58,94.49,93.99,94.09,93.93,93.93,93.34,94.74,94.85,94.80,94.83,94.83,94.83,94.80,94.40,94.58,94.43,94.46,94.24,94.30,94.15,94.18,94.27,94.30,94.33,94.21,94.27,94.33,94.18,94.37,94.33,94.33,94.40,94.30,94.10,94.58,94.52,94.46,94.52,94.43,94.49,94.49,94.58,94.86,94.86,94.83,94.71,94.77,94.06,94.02,94.12,94.24,94.18,94.18,94.18,94.18,94.24,94.24,94.18,94.24,94.37,94.33,94.27,94.46,94.46,94.46,94.46,94.52,94.46,94.43,94.49,94.49,94.46,94.40,94.40,94.37,94.32,94.18,94.27,94.24,94.21,94.18,94.33,94.33,94.33,94.49,94.46,94.80,94.86,94.58,95.05,94.89,95.11,95.73,97.52,97.52,97.21,97.18,97.18,97.64,97.88,98.24,97.55,97.86,97.59,97.62,97.49,,98.79,99.01,99.01,98.39,98.79,98.48,98.33,98.30,98.39,98.33,98.33,98.24,98.24,98.58,98.85
C-MW715606,86.13,86.22,86.19,86.19,86.19,86.22,94.09,94.80,94.49,94.49,94.52,94.52,94.58,94.55,94.55,94.46,94.43,94.40,94.30,93.99,94.09,93.96,93.96,93.24,94.58,94.75,94.71,94.74,94.74,94.74,94.71,94.12,94.49,94.37,94.40,94.09,94.15,93.99,94.02,94.02,94.09,94.12,94.06,94.12,94.18,94.02,94.15,94.18,94.18,94.24,94.21,93.98,94.37,94.30,94.30,94.37,94.27,94.33,94.33,94.40,94.64,94.64,94.61,94.55,94.61,93.94,93.90,94.06,94.12,94.06,94.06,94.06,94.02,94.09,94.09,94.02,94.09,94.21,94.18,94.12,94.30,94.30,94.30,94.30,94.37,94.30,94.27,94.33,94.33,94.30,94.24,94.24,94.21,94.23,94.02,94.18,94.15,94.12,94.09,94.24,94.24,94.24,94.40,94.30,94.46,94.46,94.30,94.77,94.67,94.83,95.60,97.43,97.49,97.18,97.15,97.15,97.39,97.66,98.08,97.34,97.65,97.37,97.40,97.46,98.79,,99.60,99.60,98.14,98.58,98.27,98.11,98.08,98.11,98.11,98.11,98.14,98.14,98.42,98.70
C-MG670643,86.25,86.35,86.32,86.32,86.32,86.35,94.26,94.95,94.67,94.67,94.71,94.71,94.77,94.74,94.74,94.61,94.58,94.61,94.52,94.15,94.24,94.12,94.12,93.34,94.74,94.85,94.80,94.83,94.83,94.83,94.80,94.21,94.58,94.46,94.49,94.12,94.18,94.02,94.06,94.12,94.18,94.21,94.09,94.15,94.21,94.06,94.24,94.21,94.21,94.27,94.24,94.01,94.46,94.40,94.33,94.40,94.30,94.43,94.37,94.46,94.74,94.74,94.71,94.58,94.64,94.03,93.99,94.15,94.21,94.15,94.15,94.15,94.12,94.12,94.12,94.06,94.12,94.24,94.21,94.15,94.33,94.33,94.33,94.33,94.40,94.33,94.30,94.37,94.37,94.33,94.27,94.27,94.24,94.26,94.06,94.21,94.18,94.15,94.12,94.27,94.27,94.27,94.43,94.33,94.67,94.67,94.52,94.98,94.83,94.98,95.79,97.59,97.71,97.40,97.37,97.37,97.55,97.82,98.24,97.49,97.80,97.52,97.55,97.55,99.01,99.60,,99.88,98.36,98.79,98.48,98.33,98.30,98.33,98.33,98.33,98.30,98.30,98.58,98.85
C-MG670640,86.32,86.47,86.44,86.44,86.44,86.47,94.22,94.95,94.64,94.64,94.67,94.67,94.74,94.71,94.71,94.61,94.58,94.61,94.52,94.15,94.24,94.06,94.06,93.34,94.74,94.85,94.80,94.83,94.83,94.83,94.80,94.21,94.58,94.46,94.49,94.12,94.18,94.09,94.12,94.12,94.18,94.21,94.09,94.15,94.21,94.06,94.24,94.21,94.21,94.27,94.24,94.01,94.46,94.40,94.33,94.40,94.30,94.43,94.37,94.46,94.74,94.74,94.71,94.58,94.64,94.03,93.99,94.15,94.21,94.15,94.15,94.15,94.12,94.12,94.12,94.06,94.12,94.24,94.21,94.15,94.33,94.33,94.33,94.33,94.40,94.33,94.30,94.37,94.37,94.33,94.27,94.27,94.24,94.26,94.06,94.21,94.18,94.15,94.12,94.27,94.27,94.27,94.43,94.33,94.74,94.74,94.46,94.92,94.83,94.98,95.79,97.59,97.68,97.37,97.34,97.34,97.55,97.82,98.24,97.49,97.80,97.52,97.55,97.55,99.01,99.60,99.88,,98.36,98.79,98.48,98.33,98.30,98.33,98.33,98.33,98.30,98.30,98.58,98.85
C-LC514514,85.85,85.94,85.91,85.91,85.91,85.94,94.15,94.83,94.49,94.49,94.52,94.52,94.58,94.55,94.55,94.49,94.52,94.43,94.30,93.93,94.02,93.96,93.96,93.31,94.67,94.85,94.86,94.83,94.83,94.83,94.80,94.15,94.61,94.46,94.49,93.99,94.06,93.90,93.93,93.99,94.06,94.09,93.96,94.02,94.09,93.93,94.12,94.09,94.09,94.24,94.15,93.85,94.18,94.18,94.21,94.21,94.18,94.24,94.24,94.37,94.58,94.58,94.55,94.46,94.52,93.82,93.78,93.87,93.99,93.93,93.93,93.93,93.99,93.99,93.99,93.93,93.99,94.12,94.09,94.02,94.15,94.21,94.21,94.21,94.27,94.21,94.18,94.24,94.24,94.21,94.15,94.15,94.12,94.07,93.90,94.06,94.09,93.96,93.93,94.09,94.09,94.09,94.24,94.15,94.52,94.64,94.24,94.71,94.64,94.77,95.57,97.52,97.52,97.21,97.18,97.18,97.64,97.88,98.17,97.65,97.89,97.68,97.71,97.21,98.39,98.14,98.36,98.36,,99.04,99.38,99.10,99.07,99.10,99.10,99.10,98.11,98.11,98.36,98.64
C-MH166403,86.38,86.22,86.19,86.19,86.19,86.22,94.15,94.89,94.55,94.55,94.58,94.58,94.64,94.61,94.61,94.52,94.49,94.43,94.33,93.99,94.09,93.96,93.96,93.37,94.64,94.81,94.89,94.86,94.86,94.86,94.83,94.21,94.61,94.52,94.55,94.02,94.09,93.93,93.96,94.02,94.09,94.12,93.99,94.06,94.12,93.96,94.15,94.12,94.12,94.27,94.18,93.89,94.30,94.24,94.24,94.30,94.21,94.27,94.27,94.37,94.64,94.64,94.61,94.49,94.55,93.85,93.81,93.90,94.02,93.96,93.96,93.96,94.02,94.02,94.09,93.96,94.02,94.15,94.12,94.06,94.18,94.24,94.24,94.24,94.30,94.24,94.21,94.27,94.27,94.24,94.18,94.18,94.15,94.10,93.90,94.09,94.12,93.99,93.96,94.12,94.12,94.12,94.27,94.18,94.58,94.71,94.37,94.83,94.67,94.89,95.88,97.65,97.65,97.34,97.31,97.31,97.73,98.00,98.42,97.74,97.99,97.77,97.80,97.52,98.79,98.58,98.79,98.79,99.04,,99.41,99.26,99.23,99.26,99.26,99.26,98.39,98.39,98.73,99.01
C-LC514492,86.01,86.04,86.01,86.01,86.01,86.04,94.09,94.74,94.40,94.40,94.43,94.43,94.49,94.46,94.46,94.37,94.40,94.27,94.18,93.90,93.99,93.87,93.87,93.18,94.55,94.72,94.74,94.71,94.71,94.71,94.67,94.12,94.46,94.30,94.33,93.87,93.93,93.78,93.81,93.87,93.93,93.96,93.84,93.90,93.96,93.81,93.99,93.96,93.96,94.12,93.96,93.73,94.15,94.09,94.09,94.15,94.06,94.12,94.12,94.27,94.49,94.49,94.46,94.33,94.40,93.69,93.65,93.75,93.87,93.81,93.81,93.81,93.87,93.87,93.87,93.81,93.87,93.99,93.96,93.90,94.02,94.09,94.09,94.09,94.15,94.09,94.06,94.12,94.12,94.09,94.02,94.02,93.99,93.89,93.75,93.93,93.96,93.84,93.81,93.96,93.96,93.96,94.12,94.02,94.43,94.55,94.21,94.67,94.52,94.67,95.51,97.40,97.40,97.09,97.06,97.06,97.45,97.69,98.05,97.46,97.71,97.49,97.52,97.28,98.48,98.27,98.48,98.48,99.38,99.41,,99.60,99.57,99.60,99.60,99.60,98.08,98.08,98.42,98.70
C-OP850448,86.10,85.94,85.91,85.91,85.91,85.94,93.99,94.64,94.33,94.33,94.37,94.37,94.43,94.40,94.40,94.30,94.33,94.18,94.09,93.81,93.90,93.68,93.68,93.05,94.37,94.54,94.55,94.52,94.52,94.52,94.55,93.93,94.33,94.18,94.21,93.65,93.72,93.56,93.59,93.65,93.72,93.75,93.62,93.68,93.75,93.59,93.78,93.75,93.75,93.90,93.81,93.51,93.93,93.87,93.87,93.93,93.84,93.90,93.90,94.06,94.27,94.27,94.24,94.12,94.18,93.60,93.56,93.65,93.78,93.72,93.72,93.72,93.65,93.65,93.65,93.59,93.65,93.78,93.75,93.68,93.81,93.87,93.87,93.87,93.93,93.87,93.84,93.90,93.90,93.87,93.81,93.81,93.78,93.73,93.53,93.75,93.78,93.65,93.62,93.75,93.75,93.75,93.90,93.81,94.21,94.33,93.99,94.46,94.30,94.46,95.42,97.24,97.24,97.00,96.97,96.97,97.33,97.54,97.89,97.28,97.52,97.31,97.34,97.12,98.33,98.11,98.33,98.33,99.10,99.26,99.60,,99.91,99.94,99.94,99.94,97.93,97.93,98.27,98.54
C-OP850447,86.13,85.98,85.94,85.94,85.94,85.98,93.89,94.55,94.24,94.24,94.27,94.27,94.33,94.30,94.30,94.21,94.24,94.09,93.99,93.72,93.81,93.65,93.65,93.02,94.33,94.50,94.52,94.49,94.49,94.49,94.52,93.90,94.30,94.15,94.18,93.62,93.68,93.53,93.56,93.62,93.68,93.72,93.59,93.65,93.72,93.56,93.75,93.72,93.72,93.87,93.78,93.48,93.90,93.84,93.84,93.90,93.81,93.87,93.87,94.02,94.24,94.24,94.21,94.09,94.15,93.63,93.59,93.68,93.81,93.75,93.75,93.75,93.62,93.62,93.62,93.56,93.62,93.75,93.72,93.65,93.78,93.84,93.84,93.84,93.90,93.84,93.81,93.87,93.87,93.84,93.78,93.78,93.75,93.76,93.56,93.78,93.81,93.68,93.65,93.78,93.78,93.78,93.93,93.84,94.18,94.30,93.96,94.43,94.27,94.43,95.45,97.28,97.21,96.97,96.93,96.93,97.30,97.51,97.86,97.24,97.49,97.28,97.31,97.09,98.30,98.08,98.30,98.30,99.07,99.23,99.57,99.91,,99.91,99.91,99.91,97.89,97.89,98.24,98.51
C-OP850449,86.10,85.94,85.91,85.91,85.91,85.94,93.99,94.58,94.33,94.33,94.37,94.37,94.43,94.40,94.40,94.30,94.33,94.18,94.09,93.81,93.90,93.75,93.75,93.11,94.43,94.60,94.61,94.58,94.58,94.58,94.61,93.99,94.40,94.24,94.27,93.72,93.78,93.62,93.65,93.72,93.78,93.81,93.68,93.75,93.81,93.65,93.84,93.81,93.81,93.96,93.87,93.58,93.99,93.93,93.93,93.99,93.90,93.96,93.96,94.12,94.33,94.33,94.30,94.18,94.24,93.66,93.62,93.72,93.84,93.78,93.78,93.78,93.72,93.72,93.72,93.65,93.72,93.84,93.81,93.75,93.87,93.93,93.93,93.93,93.99,93.93,93.90,93.96,93.96,93.93,93.87,93.87,93.84,93.79,93.59,93.81,93.84,93.72,93.68,93.81,93.81,93.81,93.96,93.87,94.27,94.40,94.06,94.52,94.37,94.52,95.42,97.24,97.24,97.00,96.97,96.97,97.33,97.54,97.89,97.28,97.52,97.31,97.34,97.12,98.39,98.11,98.33,98.33,99.10,99.26,99.60,99.94,99.91,,99.94,99.94,97.93,97.93,98.27,98.54
C-OP850446,86.10,85.94,85.91,85.91,85.91,85.94,93.95,94.58,94.27,94.27,94.30,94.30,94.37,94.33,94.33,94.24,94.27,94.12,94.02,93.75,93.84,93.68,93.68,93.05,94.37,94.54,94.55,94.52,94.52,94.52,94.55,93.93,94.33,94.18,94.21,93.65,93.72,93.56,93.59,93.65,93.72,93.75,93.62,93.68,93.75,93.59,93.78,93.75,93.75,93.90,93.81,93.51,93.93,93.87,93.87,93.93,93.84,93.90,93.90,94.06,94.27,94.27,94.24,94.12,94.18,93.63,93.59,93.68,93.81,93.75,93.75,93.75,93.65,93.65,93.65,93.59,93.65,93.78,93.75,93.68,93.81,93.87,93.87,93.87,93.93,93.87,93.84,93.90,93.90,93.87,93.81,93.81,93.78,93.76,93.56,93.78,93.81,93.68,93.65,93.78,93.78,93.78,93.90,93.81,94.21,94.33,93.99,94.46,94.30,94.46,95.42,97.24,97.24,97.00,96.97,96.97,97.33,97.54,97.89,97.28,97.52,97.31,97.34,97.12,98.33,98.11,98.33,98.33,99.10,99.26,99.60,99.94,99.91,99.94,,99.94,97.93,97.93,98.27,98.54
C-OP850444,86.16,85.94,85.91,85.91,85.91,85.94,93.92,94.58,94.27,94.27,94.30,94.30,94.37,94.33,94.40,94.24,94.27,94.12,94.02,93.75,93.84,93.68,93.68,93.11,94.37,94.54,94.55,94.52,94.52,94.52,94.55,93.93,94.33,94.24,94.27,93.65,93.72,93.56,93.59,93.65,93.72,93.75,93.62,93.68,93.75,93.59,93.78,93.75,93.75,93.90,93.81,93.51,93.93,93.87,93.87,93.93,93.84,93.90,93.90,94.06,94.27,94.27,94.24,94.12,94.18,93.60,93.56,93.65,93.78,93.72,93.72,93.72,93.65,93.65,93.65,93.59,93.65,93.78,93.75,93.68,93.81,93.87,93.87,93.87,93.93,93.87,93.84,93.90,93.90,93.87,93.81,93.81,93.78,93.73,93.53,93.75,93.78,93.65,93.62,93.75,93.75,93.75,93.90,93.81,94.21,94.33,93.99,94.46,94.30,94.46,95.42,97.24,97.24,97.00,96.97,96.97,97.33,97.54,97.89,97.28,97.52,97.31,97.34,97.12,98.33,98.11,98.33,98.33,99.10,99.26,99.60,99.94,99.91,99.94,99.94,,97.99,97.99,98.27,98.54
